,ID,type,name,Vermin,stars,votes,safety
1212,107885173,Boulder,Bushwhackin,V0,4.0,2,
1213,107885186,Boulder,Polly Pocket,V1+,4.0,2,
1218,118604992,Boulder,Much excitement,V3-4,4.0,1,
1226,107884206,Boulder,Johnny Wadd Project,V8-9,4.0,1,
1235,107886543,Boulder,Hookin for Cheeseburgers,V0+,4.0,1,
1236,107884096,Boulder,Shmangled,V4,4.0,1,
1237,107885195,Boulder,Natty Light,V1+,4.0,1,
1254,112828001,Boulder,Cub Scout,V1,3.8,4,
1268,107885263,Boulder,Rambo Rail,V3-4,3.7,3,
1358,114016458,Boulder,Ruffle Feathers,V3-,3.0,2,
1365,107885139,Boulder,Jimmy D,V1,3.0,2,
1366,107885272,Boulder,Rambo Direct,V5-,3.0,2,
1375,119854268,Boulder,19 Crimes,V2,3.0,1,
1377,119720997,Boulder,The Portal,V3,3.0,1,
1378,119854378,Boulder,Pour Choices,V1,3.0,1,
1379,118604972,Boulder,Wishbone,V2,3.0,1,
1380,116163724,Boulder,Fissure,V2,3.0,1,
1381,116163706,Boulder,Main Slab,V0,3.0,1,
1382,112812369,Boulder,Fowl Play,V1,3.0,1,
1383,112812365,Boulder,To get to the Other Side,V0,3.0,1,
1386,112812361,Boulder,Rotten Egg,V1,3.0,1,
1390,112812355,Boulder,Which Came First...,V1,3.0,1,
1405,107884178,Boulder,Peter North,V4,3.0,1,
1406,107884202,Boulder,Viagra,V5,3.0,1,
1407,107884187,Boulder,Ron Jeremy,V3,3.0,1,
1408,107886566,Boulder,Randy-Bo-Bandy,V0,3.0,1,
1411,107887556,Boulder,The-Big-Dirty,V7+,3.0,1,
1412,107885254,Boulder,Rambo Redux,V8,3.0,1,
1413,107885294,Boulder,Jimbo Deluxe,V6-7,3.0,1,
1414,107885280,Boulder,Chuck,V5,3.0,1,
1415,107884198,Boulder,Cialis,V4-5,3.0,1,
1416,107884106,Boulder,Dangled,V2-3,3.0,1,
1418,107885323,Boulder,Tumbleweed Traverse,V2-3,3.0,1,
1419,120717079,Boulder,Spiral Out,V4,3.0,1,
1472,116163734,Boulder,Gold Quartz Slab,V2,2.0,1,
1473,116163889,Boulder,Bullet Slab,V2,2.0,1,
1474,116163864,Boulder,Jump Problem,V1-2,2.0,1,
1493,107886611,Boulder,Jim Lahey,V1-2,2.0,1,
1494,107884214,Boulder,Fluffer,V0-1,2.0,1,
1521,113200929,Boulder,Hibbity Dibbity,V7,5.0,2,PG13
1522,113201048,Boulder,Heavenly War Path,V3+,5.0,2,PG13
1523,113232716,Boulder,Illmatic,V6,5.0,2,
1526,113324593,Boulder,The Deciever,V7-8,5.0,1,
1543,113201123,Boulder,Lean On Me (Sit),V5,4.0,2,
1546,116207341,Boulder,Sock Dudes,V4,4.0,1,
1548,119346946,Boulder,Ether,V6-7,4.0,1,
1549,119321713,Boulder,Unnamed,V4,4.0,1,
1550,113200648,Boulder,Just Keep Swimming,V6,4.0,1,
1551,113360766,Boulder,Prince Albert,V5,4.0,1,
1553,113216517,Boulder,Ice Troll,V4,4.0,1,
1554,113200965,Boulder,Boz Boz Slab,V5-6,4.0,1,
1555,113201021,Boulder,Pepper Jelly,V3,4.0,1,
1556,113360751,Boulder,The Crown,V1,4.0,1,R
1557,113216561,Boulder,Time Crunch,V3,4.0,1,
1572,113200729,Boulder,Jah Pull Up,V2+,3.0,2,
1581,116207312,Boulder,Knuckle F***er,V5,3.0,1,
1582,116207324,Boulder,Knuckle F***er Sit,V6,3.0,1,
1584,116207362,Boulder,Sock Dudes Sit,V5,3.0,1,
1585,113216546,Boulder,Groove Train,V0,3.0,1,
1586,113200766,Boulder,Long Dong Silva,V1,3.0,1,
1587,113200680,Boulder,Lean On Me,V2,3.0,1,
1588,113328303,Boulder,The Deciever (High Stand),V5,3.0,1,
1598,113240541,Boulder,Bros and Cons,V0+,2.0,1,
1600,113562469,Boulder,Spicy Mango,V3,5.0,1,PG13
1601,113562481,Boulder,Back-Step Traverse,V0,5.0,1,
1605,113562475,Boulder,The Virus,V1+,3.0,1,
1639,117399126,Boulder,The Crimp,V3-,4.3,3,
1700,117405086,Boulder,Scout's Nose,V1+,3.0,2,
1711,117852778,Boulder,Sinking Johnson,V1,3.0,1,
1757,110535637,Boulder,The Lion's Mane,V4,4.4,14,
1758,112510778,Boulder,Domenigoni,V4-5,5.0,2,
1759,118286614,Boulder,Superposition,V5,5.0,1,
1760,112282903,Boulder,We The Sheeple,V8,5.0,1,PG13
1761,112465511,Boulder,Arugula,V4,5.0,1,
1762,112436103,Boulder,Löwenanteil (aka Lion's Share),V4,4.7,3,R
1764,107414930,Boulder,Reach for the Stars,V2,4.3,3,
1765,112384133,Boulder,Thundercat!,V3,4.0,5,PG13
1766,107417956,Boulder,Gettin' Lippy,V3,4.0,3,PG13
1767,112369666,Boulder,Electric Bobcat,V1,3.8,6,PG13
1768,112531992,Boulder,Bob Cat Way,V1,4.0,2,
1769,112515057,Boulder,Swisher Sweet,V2-3,4.0,2,
1770,112514900,Boulder,Rabbit Proof Fence,V1,4.0,2,
1771,112444206,Boulder,Miezekatzesänfte AKA Kitty Litter,V3,4.0,2,
1772,112465612,Boulder,Sweet Relief,V4,4.0,2,
1773,112510818,Boulder,Domenigoni Dead Point,V2,4.0,2,
1775,112465623,Boulder,Sweetie,V3,4.0,2,
1776,118827527,Boulder,Drifter Boulder,V2,4.0,1,
1777,112285529,Boulder,[Redacted],V2,4.0,1,
1778,112532540,Boulder,Pussy Foot traverse,V3,4.0,1,
1779,112444196,Boulder,Das Kätzchen AKA The Kitten,V5-6,4.0,1,R
1781,112539933,Boulder,Crack in the Dragons Egg,V3,4.0,1,
1782,112544568,Boulder,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,V1-2,4.0,1,
1783,112775389,Boulder,Waimeaplay,V2-3,4.0,1,
1784,112514818,Boulder,Relative Peace,V2,4.0,1,
1785,112514940,Boulder,Ride the Lightning offwidth,V2,4.0,1,
1786,112539731,Boulder,Mastodon,V3-4,4.0,1,
1787,112539951,Boulder,Rainbow Hawk,V2+,4.0,1,
1788,112465581,Boulder,Sweet Arete,V1,4.0,1,
1789,109317298,Boulder,World's Best Thin Crack,V6,4.0,1,
1790,112369834,Boulder,Ursa Minor traverse,V3,3.7,3,
1791,112369380,Boulder,Sebastian Traverse,V2,3.7,3,
1792,112357407,Boulder,Slabcat,V2-3,3.5,4,
1793,112543279,Boulder,Cat Woman,V2,3.5,4,
1794,116208128,Boulder,Lady in a Tiny Hat,V0-1,3.5,2,
1795,116385610,Boulder,Paprika,V3,3.5,2,
1796,112357350,Boulder,Nessy Traverse,V4,3.5,2,
1797,112542567,Boulder,Cosmic Dragon,V5,3.5,2,
1798,112544557,Boulder,A Clockwork Orange,V1-2,3.5,2,
1799,112482188,Boulder,Rapid Transit,V2,3.5,2,
1800,107076087,Boulder,All in the Family,V2-3,3.5,2,
1801,112543268,Boulder,"Shadow, Skyler's Dead Cat",V2,3.3,3,
1802,112510806,Boulder,Domenigoni Traverse,V2+,3.3,3,
1803,110731991,Boulder,A Woman Named Rita,V0,3.3,3,PG13
1804,107414941,Boulder,Reachin' Left,V2+,3.3,3,
1805,112457808,Boulder,Hibernation,V0,3.0,3,
1806,112457829,Boulder,Winnie's Nap,V2,3.0,3,
1807,116208316,Boulder,Menifee's Hero Roof,V2,3.0,2,
1808,116208254,Boulder,Li'l Queen of London,V2,3.0,2,
1809,112357459,Boulder,Honky Cat,V3,3.0,2,
1810,112369784,Boulder,Ambergris,V0+,3.0,2,
1811,112515043,Boulder,Black & Mild,V0,3.0,2,
1812,112482200,Boulder,Leed,V3-4,3.0,2,
1813,112482167,Boulder,Sense of Place,V0,3.0,2,
1814,107083852,Boulder,Blood Brothers,V2,3.0,2,
